Model,MAE,RMSE,R2 Score,Prediction Time (Seconds)
Linear Regression,1.067203067249113,1.1391930029327109,-1.8843478629934207,0.19719289999920875
Elastic Net Regression,1.4600512073153444,1.5279209144664327,-4.188654707287503,0.18143659999623196
Ridge Regression,1.4681280108166919,1.5376443991499171,-4.254904653039088,0.18793000000005122
Lasso Regression,1.4688807481298454,1.5380978493745114,-4.258004445221234,0.23344949999591336
Random Forest,1.6750549769204686,1.738156838429867,-5.714766915144469,5.083930599997984
Decision Tree,1.6594576170983206,1.74532373825089,-5.770254745843065,0.3862426999985473
Gradient Boosting,1.7654570205444915,1.8307491084134486,-6.449217960632613,4.525827099998423
